"date","agegroup","population"
2020-12-31,"0-4",93370
2020-12-31,"5-9",174365
2020-12-31,"10-14",236237
2020-12-31,"15-19",205863
2020-12-31,"20-24",160866
2020-12-31,"25-29",161991
2020-12-31,"30-34",175490
2020-12-31,"35-39",195739
2020-12-31,"40-44",219363
2020-12-31,"45-49",227237
2020-12-31,"50-54",237362
2020-12-31,"55-59",226112
2020-12-31,"60-64",219363
2020-12-31,"65-69",183365
2020-12-31,"70-74",176615
2020-12-31,"75-79",129368
2020-12-31,"80-84",86620
2020-12-31,"85-89",51747
2020-12-31,"90-94",23624
2020-12-31,"95-99",7875
2020-12-31,"100-Inf",1125
